fecha,valor,porcentaje,indicator,region
2023-01-01,109.134,1,Índice servicios,peninsular
2023-02-01,105.2765,1,Índice servicios,peninsular
2023-03-01,106.63366666666668,1,Índice servicios,peninsular
2023-04-01,105.78375,1,Índice servicios,peninsular
2023-05-01,106.8568,1,Índice servicios,peninsular
2023-06-01,109.0835,1,Índice servicios,peninsular
2023-07-01,112.76385714285712,1,Índice servicios,peninsular
2023-08-01,115.024625,1,Índice servicios,peninsular
2023-09-01,115.42166666666668,1,Índice servicios,peninsular
2023-10-01,115.5705,1,Índice servicios,peninsular
2023-11-01,114.87918181818182,1,Índice servicios,peninsular
2023-12-01,114.37850000000002,1,Índice servicios,peninsular
2023-01-01,99.734,1,Índice servicios corregido,peninsular
2023-02-01,100.562,1,Índice servicios corregido,peninsular
2023-03-01,99.36866666666668,1,Índice servicios corregido,peninsular
2023-04-01,98.12,1,Índice servicios corregido,peninsular
2023-05-01,97.5234,1,Índice servicios corregido,peninsular
2023-06-01,97.08733333333332,1,Índice servicios corregido,peninsular
2023-07-01,96.7807142857143,1,Índice servicios corregido,peninsular
2023-08-01,95.719125,1,Índice servicios corregido,peninsular
2023-09-01,95.87177777777778,1,Índice servicios corregido,peninsular
2023-10-01,96.0176,1,Índice servicios corregido,peninsular
2023-11-01,96.50209090909092,1,Índice servicios corregido,peninsular
2023-12-01,96.91541666666669,1,Índice servicios corregido,peninsular
2023-01-01,-12.852454303715591,1,Annual variation,peninsular
2023-02-01,-11.520456531970693,1,Annual variation,peninsular
2023-03-01,-11.106510684413813,1,Annual variation,peninsular
2023-04-01,-10.462778788776502,1,Annual variation,peninsular
2023-05-01,-10.538309938866854,1,Annual variation,peninsular
2023-06-01,-10.405535820619695,1,Annual variation,peninsular
2023-07-01,-9.72350251496513,1,Annual variation,peninsular
2023-08-01,-8.968807717001077,1,Annual variation,peninsular
2023-09-01,-8.343369906163554,1,Annual variation,peninsular
2023-10-01,-7.406339157166567,1,Annual variation,peninsular
2023-11-01,-6.741799407242958,1,Annual variation,peninsular
2023-12-01,-6.108538628398866,1,Annual variation,peninsular
2023-01-01,-12.839739220107324,1,Corrected annual variation,peninsular
2023-02-01,-11.5102184482038,1,Corrected annual variation,peninsular
2023-03-01,-11.473735163017489,1,Corrected annual variation,peninsular
2023-04-01,-11.200405444540973,1,Corrected annual variation,peninsular
2023-05-01,-10.254319642502178,1,Corrected annual variation,peninsular
2023-06-01,-9.95981204402127,1,Corrected annual variation,peninsular
2023-07-01,-8.82645851557768,1,Corrected annual variation,peninsular
2023-08-01,-8.443272714229357,1,Corrected annual variation,peninsular
2023-09-01,-7.650138121399139,1,Corrected annual variation,peninsular
2023-10-01,-6.906197068664463,1,Corrected annual variation,peninsular
2023-11-01,-6.192984642140387,1,Corrected annual variation,peninsular
2023-12-01,-5.470738223721058,1,Corrected annual variation,peninsular
2023-01-01,109.134,1,Índice servicios,canarias
2023-02-01,105.2765,1,Índice servicios,canarias
2023-03-01,106.63366666666668,1,Índice servicios,canarias
2023-04-01,105.78375,1,Índice servicios,canarias
2023-05-01,106.8568,1,Índice servicios,canarias
2023-06-01,109.0835,1,Índice servicios,canarias
2023-07-01,112.76385714285712,1,Índice servicios,canarias
2023-08-01,115.024625,1,Índice servicios,canarias
2023-09-01,115.42166666666668,1,Índice servicios,canarias
2023-10-01,115.5705,1,Índice servicios,canarias
2023-11-01,114.87918181818182,1,Índice servicios,canarias
2023-12-01,114.37850000000002,1,Índice servicios,canarias
2023-01-01,99.734,1,Índice servicios corregido,canarias
2023-02-01,100.562,1,Índice servicios corregido,canarias
2023-03-01,99.36866666666668,1,Índice servicios corregido,canarias
2023-04-01,98.12,1,Índice servicios corregido,canarias
2023-05-01,97.5234,1,Índice servicios corregido,canarias
2023-06-01,97.08733333333332,1,Índice servicios corregido,canarias
2023-07-01,96.7807142857143,1,Índice servicios corregido,canarias
2023-08-01,95.719125,1,Índice servicios corregido,canarias
2023-09-01,95.87177777777778,1,Índice servicios corregido,canarias
2023-10-01,96.0176,1,Índice servicios corregido,canarias
2023-11-01,96.50209090909092,1,Índice servicios corregido,canarias
2023-12-01,96.91541666666669,1,Índice servicios corregido,canarias
2023-01-01,-12.852454303715591,1,Annual variation,canarias
2023-02-01,-11.520456531970693,1,Annual variation,canarias
2023-03-01,-11.106510684413813,1,Annual variation,canarias
2023-04-01,-10.462778788776502,1,Annual variation,canarias
2023-05-01,-10.538309938866854,1,Annual variation,canarias
2023-06-01,-10.405535820619695,1,Annual variation,canarias
2023-07-01,-9.72350251496513,1,Annual variation,canarias
2023-08-01,-8.968807717001077,1,Annual variation,canarias
2023-09-01,-8.343369906163554,1,Annual variation,canarias
2023-10-01,-7.406339157166567,1,Annual variation,canarias
2023-11-01,-6.741799407242958,1,Annual variation,canarias
2023-12-01,-6.108538628398866,1,Annual variation,canarias
2023-01-01,-12.839739220107324,1,Corrected annual variation,canarias
2023-02-01,-11.5102184482038,1,Corrected annual variation,canarias
2023-03-01,-11.473735163017489,1,Corrected annual variation,canarias
2023-04-01,-11.200405444540973,1,Corrected annual variation,canarias
2023-05-01,-10.254319642502178,1,Corrected annual variation,canarias
2023-06-01,-9.95981204402127,1,Corrected annual variation,canarias
2023-07-01,-8.82645851557768,1,Corrected annual variation,canarias
2023-08-01,-8.443272714229357,1,Corrected annual variation,canarias
2023-09-01,-7.650138121399139,1,Corrected annual variation,canarias
2023-10-01,-6.906197068664463,1,Corrected annual variation,canarias
2023-11-01,-6.192984642140387,1,Corrected annual variation,canarias
2023-12-01,-5.470738223721058,1,Corrected annual variation,canarias
2023-01-01,109.134,1,Índice servicios,baleares
2023-02-01,105.2765,1,Índice servicios,baleares
2023-03-01,106.63366666666668,1,Índice servicios,baleares
2023-04-01,105.78375,1,Índice servicios,baleares
2023-05-01,106.8568,1,Índice servicios,baleares
2023-06-01,109.0835,1,Índice servicios,baleares
2023-07-01,112.76385714285712,1,Índice servicios,baleares
2023-08-01,115.024625,1,Índice servicios,baleares
2023-09-01,115.42166666666668,1,Índice servicios,baleares
2023-10-01,115.5705,1,Índice servicios,baleares
2023-11-01,114.87918181818182,1,Índice servicios,baleares
2023-12-01,114.37850000000002,1,Índice servicios,baleares
2023-01-01,99.734,1,Índice servicios corregido,baleares
2023-02-01,100.562,1,Índice servicios corregido,baleares
2023-03-01,99.36866666666668,1,Índice servicios corregido,baleares
2023-04-01,98.12,1,Índice servicios corregido,baleares
2023-05-01,97.5234,1,Índice servicios corregido,baleares
2023-06-01,97.08733333333332,1,Índice servicios corregido,baleares
2023-07-01,96.7807142857143,1,Índice servicios corregido,baleares
2023-08-01,95.719125,1,Índice servicios corregido,baleares
2023-09-01,95.87177777777778,1,Índice servicios corregido,baleares
2023-10-01,96.0176,1,Índice servicios corregido,baleares
2023-11-01,96.50209090909092,1,Índice servicios corregido,baleares
2023-12-01,96.91541666666669,1,Índice servicios corregido,baleares
2023-01-01,-12.852454303715591,1,Annual variation,baleares
2023-02-01,-11.520456531970693,1,Annual variation,baleares
2023-03-01,-11.106510684413813,1,Annual variation,baleares
2023-04-01,-10.462778788776502,1,Annual variation,baleares
2023-05-01,-10.538309938866854,1,Annual variation,baleares
2023-06-01,-10.405535820619695,1,Annual variation,baleares
2023-07-01,-9.72350251496513,1,Annual variation,baleares
2023-08-01,-8.968807717001077,1,Annual variation,baleares
2023-09-01,-8.343369906163554,1,Annual variation,baleares
2023-10-01,-7.406339157166567,1,Annual variation,baleares
2023-11-01,-6.741799407242958,1,Annual variation,baleares
2023-12-01,-6.108538628398866,1,Annual variation,baleares
2023-01-01,-12.839739220107324,1,Corrected annual variation,baleares
2023-02-01,-11.5102184482038,1,Corrected annual variation,baleares
2023-03-01,-11.473735163017489,1,Corrected annual variation,baleares
2023-04-01,-11.200405444540973,1,Corrected annual variation,baleares
2023-05-01,-10.254319642502178,1,Corrected annual variation,baleares
2023-06-01,-9.95981204402127,1,Corrected annual variation,baleares
2023-07-01,-8.82645851557768,1,Corrected annual variation,baleares
2023-08-01,-8.443272714229357,1,Corrected annual variation,baleares
2023-09-01,-7.650138121399139,1,Corrected annual variation,baleares
2023-10-01,-6.906197068664463,1,Corrected annual variation,baleares
2023-11-01,-6.192984642140387,1,Corrected annual variation,baleares
2023-12-01,-5.470738223721058,1,Corrected annual variation,baleares
2023-01-01,109.134,1,Índice servicios,ceuta
2023-02-01,105.2765,1,Índice servicios,ceuta
2023-03-01,106.63366666666668,1,Índice servicios,ceuta
2023-04-01,105.78375,1,Índice servicios,ceuta
2023-05-01,106.8568,1,Índice servicios,ceuta
2023-06-01,109.0835,1,Índice servicios,ceuta
2023-07-01,112.76385714285712,1,Índice servicios,ceuta
2023-08-01,115.024625,1,Índice servicios,ceuta
2023-09-01,115.42166666666668,1,Índice servicios,ceuta
2023-10-01,115.5705,1,Índice servicios,ceuta
2023-11-01,114.87918181818182,1,Índice servicios,ceuta
2023-12-01,114.37850000000002,1,Índice servicios,ceuta
2023-01-01,99.734,1,Índice servicios corregido,ceuta
2023-02-01,100.562,1,Índice servicios corregido,ceuta
2023-03-01,99.36866666666668,1,Índice servicios corregido,ceuta
2023-04-01,98.12,1,Índice servicios corregido,ceuta
2023-05-01,97.5234,1,Índice servicios corregido,ceuta
2023-06-01,97.08733333333332,1,Índice servicios corregido,ceuta
2023-07-01,96.7807142857143,1,Índice servicios corregido,ceuta
2023-08-01,95.719125,1,Índice servicios corregido,ceuta
2023-09-01,95.87177777777778,1,Índice servicios corregido,ceuta
2023-10-01,96.0176,1,Índice servicios corregido,ceuta
2023-11-01,96.50209090909092,1,Índice servicios corregido,ceuta
2023-12-01,96.91541666666669,1,Índice servicios corregido,ceuta
2023-01-01,-12.852454303715591,1,Annual variation,ceuta
2023-02-01,-11.520456531970693,1,Annual variation,ceuta
2023-03-01,-11.106510684413813,1,Annual variation,ceuta
2023-04-01,-10.462778788776502,1,Annual variation,ceuta
2023-05-01,-10.538309938866854,1,Annual variation,ceuta
2023-06-01,-10.405535820619695,1,Annual variation,ceuta
2023-07-01,-9.72350251496513,1,Annual variation,ceuta
2023-08-01,-8.968807717001077,1,Annual variation,ceuta
2023-09-01,-8.343369906163554,1,Annual variation,ceuta
2023-10-01,-7.406339157166567,1,Annual variation,ceuta
2023-11-01,-6.741799407242958,1,Annual variation,ceuta
2023-12-01,-6.108538628398866,1,Annual variation,ceuta
2023-01-01,-12.839739220107324,1,Corrected annual variation,ceuta
2023-02-01,-11.5102184482038,1,Corrected annual variation,ceuta
2023-03-01,-11.473735163017489,1,Corrected annual variation,ceuta
2023-04-01,-11.200405444540973,1,Corrected annual variation,ceuta
2023-05-01,-10.254319642502178,1,Corrected annual variation,ceuta
2023-06-01,-9.95981204402127,1,Corrected annual variation,ceuta
2023-07-01,-8.82645851557768,1,Corrected annual variation,ceuta
2023-08-01,-8.443272714229357,1,Corrected annual variation,ceuta
2023-09-01,-7.650138121399139,1,Corrected annual variation,ceuta
2023-10-01,-6.906197068664463,1,Corrected annual variation,ceuta
2023-11-01,-6.192984642140387,1,Corrected annual variation,ceuta
2023-12-01,-5.470738223721058,1,Corrected annual variation,ceuta
2023-01-01,109.134,1,Índice servicios,melilla
2023-02-01,105.2765,1,Índice servicios,melilla
2023-03-01,106.63366666666668,1,Índice servicios,melilla
2023-04-01,105.78375,1,Índice servicios,melilla
2023-05-01,106.8568,1,Índice servicios,melilla
2023-06-01,109.0835,1,Índice servicios,melilla
2023-07-01,112.76385714285712,1,Índice servicios,melilla
2023-08-01,115.024625,1,Índice servicios,melilla
2023-09-01,115.42166666666668,1,Índice servicios,melilla
2023-10-01,115.5705,1,Índice servicios,melilla
2023-11-01,114.87918181818182,1,Índice servicios,melilla
2023-12-01,114.37850000000002,1,Índice servicios,melilla
2023-01-01,99.734,1,Índice servicios corregido,melilla
2023-02-01,100.562,1,Índice servicios corregido,melilla
2023-03-01,99.36866666666668,1,Índice servicios corregido,melilla
2023-04-01,98.12,1,Índice servicios corregido,melilla
2023-05-01,97.5234,1,Índice servicios corregido,melilla
2023-06-01,97.08733333333332,1,Índice servicios corregido,melilla
2023-07-01,96.7807142857143,1,Índice servicios corregido,melilla
2023-08-01,95.719125,1,Índice servicios corregido,melilla
2023-09-01,95.87177777777778,1,Índice servicios corregido,melilla
2023-10-01,96.0176,1,Índice servicios corregido,melilla
2023-11-01,96.50209090909092,1,Índice servicios corregido,melilla
2023-12-01,96.91541666666669,1,Índice servicios corregido,melilla
2023-01-01,-12.852454303715591,1,Annual variation,melilla
2023-02-01,-11.520456531970693,1,Annual variation,melilla
2023-03-01,-11.106510684413813,1,Annual variation,melilla
2023-04-01,-10.462778788776502,1,Annual variation,melilla
2023-05-01,-10.538309938866854,1,Annual variation,melilla
2023-06-01,-10.405535820619695,1,Annual variation,melilla
2023-07-01,-9.72350251496513,1,Annual variation,melilla
2023-08-01,-8.968807717001077,1,Annual variation,melilla
2023-09-01,-8.343369906163554,1,Annual variation,melilla
2023-10-01,-7.406339157166567,1,Annual variation,melilla
2023-11-01,-6.741799407242958,1,Annual variation,melilla
2023-12-01,-6.108538628398866,1,Annual variation,melilla
2023-01-01,-12.839739220107324,1,Corrected annual variation,melilla
2023-02-01,-11.5102184482038,1,Corrected annual variation,melilla
2023-03-01,-11.473735163017489,1,Corrected annual variation,melilla
2023-04-01,-11.200405444540973,1,Corrected annual variation,melilla
2023-05-01,-10.254319642502178,1,Corrected annual variation,melilla
2023-06-01,-9.95981204402127,1,Corrected annual variation,melilla
2023-07-01,-8.82645851557768,1,Corrected annual variation,melilla
2023-08-01,-8.443272714229357,1,Corrected annual variation,melilla
2023-09-01,-7.650138121399139,1,Corrected annual variation,melilla
2023-10-01,-6.906197068664463,1,Corrected annual variation,melilla
2023-11-01,-6.192984642140387,1,Corrected annual variation,melilla
2023-12-01,-5.470738223721058,1,Corrected annual variation,melilla
2023-01-01,109.134,1,Índice servicios,andalucia
2023-02-01,105.2765,1,Índice servicios,andalucia
2023-03-01,106.63366666666668,1,Índice servicios,andalucia
2023-04-01,105.78375,1,Índice servicios,andalucia
2023-05-01,106.8568,1,Índice servicios,andalucia
2023-06-01,109.0835,1,Índice servicios,andalucia
2023-07-01,112.76385714285712,1,Índice servicios,andalucia
2023-08-01,115.024625,1,Índice servicios,andalucia
2023-09-01,115.42166666666668,1,Índice servicios,andalucia
2023-10-01,115.5705,1,Índice servicios,andalucia
2023-11-01,114.87918181818182,1,Índice servicios,andalucia
2023-12-01,114.37850000000002,1,Índice servicios,andalucia
2023-01-01,99.734,1,Índice servicios corregido,andalucia
2023-02-01,100.562,1,Índice servicios corregido,andalucia
2023-03-01,99.36866666666668,1,Índice servicios corregido,andalucia
2023-04-01,98.12,1,Índice servicios corregido,andalucia
2023-05-01,97.5234,1,Índice servicios corregido,andalucia
2023-06-01,97.08733333333332,1,Índice servicios corregido,andalucia
2023-07-01,96.7807142857143,1,Índice servicios corregido,andalucia
2023-08-01,95.719125,1,Índice servicios corregido,andalucia
2023-09-01,95.87177777777778,1,Índice servicios corregido,andalucia
2023-10-01,96.0176,1,Índice servicios corregido,andalucia
2023-11-01,96.50209090909092,1,Índice servicios corregido,andalucia
2023-12-01,96.91541666666669,1,Índice servicios corregido,andalucia
2023-01-01,-12.852454303715591,1,Annual variation,andalucia
2023-02-01,-11.520456531970693,1,Annual variation,andalucia
2023-03-01,-11.106510684413813,1,Annual variation,andalucia
2023-04-01,-10.462778788776502,1,Annual variation,andalucia
2023-05-01,-10.538309938866854,1,Annual variation,andalucia
2023-06-01,-10.405535820619695,1,Annual variation,andalucia
2023-07-01,-9.72350251496513,1,Annual variation,andalucia
2023-08-01,-8.968807717001077,1,Annual variation,andalucia
2023-09-01,-8.343369906163554,1,Annual variation,andalucia
2023-10-01,-7.406339157166567,1,Annual variation,andalucia
2023-11-01,-6.741799407242958,1,Annual variation,andalucia
2023-12-01,-6.108538628398866,1,Annual variation,andalucia
2023-01-01,-12.839739220107324,1,Corrected annual variation,andalucia
2023-02-01,-11.5102184482038,1,Corrected annual variation,andalucia
2023-03-01,-11.473735163017489,1,Corrected annual variation,andalucia
2023-04-01,-11.200405444540973,1,Corrected annual variation,andalucia
2023-05-01,-10.254319642502178,1,Corrected annual variation,andalucia
2023-06-01,-9.95981204402127,1,Corrected annual variation,andalucia
2023-07-01,-8.82645851557768,1,Corrected annual variation,andalucia
2023-08-01,-8.443272714229357,1,Corrected annual variation,andalucia
2023-09-01,-7.650138121399139,1,Corrected annual variation,andalucia
2023-10-01,-6.906197068664463,1,Corrected annual variation,andalucia
2023-11-01,-6.192984642140387,1,Corrected annual variation,andalucia
2023-12-01,-5.470738223721058,1,Corrected annual variation,andalucia
2023-01-01,109.134,1,Índice servicios,aragon
2023-02-01,105.2765,1,Índice servicios,aragon
2023-03-01,106.63366666666668,1,Índice servicios,aragon
2023-04-01,105.78375,1,Índice servicios,aragon
2023-05-01,106.8568,1,Índice servicios,aragon
2023-06-01,109.0835,1,Índice servicios,aragon
2023-07-01,112.76385714285712,1,Índice servicios,aragon
2023-08-01,115.024625,1,Índice servicios,aragon
2023-09-01,115.42166666666668,1,Índice servicios,aragon
2023-10-01,115.5705,1,Índice servicios,aragon
2023-11-01,114.87918181818182,1,Índice servicios,aragon
2023-12-01,114.37850000000002,1,Índice servicios,aragon
2023-01-01,99.734,1,Índice servicios corregido,aragon
2023-02-01,100.562,1,Índice servicios corregido,aragon
2023-03-01,99.36866666666668,1,Índice servicios corregido,aragon
2023-04-01,98.12,1,Índice servicios corregido,aragon
2023-05-01,97.5234,1,Índice servicios corregido,aragon
2023-06-01,97.08733333333332,1,Índice servicios corregido,aragon
2023-07-01,96.7807142857143,1,Índice servicios corregido,aragon
2023-08-01,95.719125,1,Índice servicios corregido,aragon
2023-09-01,95.87177777777778,1,Índice servicios corregido,aragon
2023-10-01,96.0176,1,Índice servicios corregido,aragon
2023-11-01,96.50209090909092,1,Índice servicios corregido,aragon
2023-12-01,96.91541666666669,1,Índice servicios corregido,aragon
2023-01-01,-12.852454303715591,1,Annual variation,aragon
2023-02-01,-11.520456531970693,1,Annual variation,aragon
2023-03-01,-11.106510684413813,1,Annual variation,aragon
2023-04-01,-10.462778788776502,1,Annual variation,aragon
2023-05-01,-10.538309938866854,1,Annual variation,aragon
2023-06-01,-10.405535820619695,1,Annual variation,aragon
2023-07-01,-9.72350251496513,1,Annual variation,aragon
2023-08-01,-8.968807717001077,1,Annual variation,aragon
2023-09-01,-8.343369906163554,1,Annual variation,aragon
2023-10-01,-7.406339157166567,1,Annual variation,aragon
2023-11-01,-6.741799407242958,1,Annual variation,aragon
2023-12-01,-6.108538628398866,1,Annual variation,aragon
2023-01-01,-12.839739220107324,1,Corrected annual variation,aragon
2023-02-01,-11.5102184482038,1,Corrected annual variation,aragon
2023-03-01,-11.473735163017489,1,Corrected annual variation,aragon
2023-04-01,-11.200405444540973,1,Corrected annual variation,aragon
2023-05-01,-10.254319642502178,1,Corrected annual variation,aragon
2023-06-01,-9.95981204402127,1,Corrected annual variation,aragon
2023-07-01,-8.82645851557768,1,Corrected annual variation,aragon
2023-08-01,-8.443272714229357,1,Corrected annual variation,aragon
2023-09-01,-7.650138121399139,1,Corrected annual variation,aragon
2023-10-01,-6.906197068664463,1,Corrected annual variation,aragon
2023-11-01,-6.192984642140387,1,Corrected annual variation,aragon
2023-12-01,-5.470738223721058,1,Corrected annual variation,aragon
2023-01-01,109.134,1,Índice servicios,cantabria
2023-02-01,105.2765,1,Índice servicios,cantabria
2023-03-01,106.63366666666668,1,Índice servicios,cantabria
2023-04-01,105.78375,1,Índice servicios,cantabria
2023-05-01,106.8568,1,Índice servicios,cantabria
2023-06-01,109.0835,1,Índice servicios,cantabria
2023-07-01,112.76385714285712,1,Índice servicios,cantabria
2023-08-01,115.024625,1,Índice servicios,cantabria
2023-09-01,115.42166666666668,1,Índice servicios,cantabria
2023-10-01,115.5705,1,Índice servicios,cantabria
2023-11-01,114.87918181818182,1,Índice servicios,cantabria
2023-12-01,114.37850000000002,1,Índice servicios,cantabria
2023-01-01,99.734,1,Índice servicios corregido,cantabria
2023-02-01,100.562,1,Índice servicios corregido,cantabria
2023-03-01,99.36866666666668,1,Índice servicios corregido,cantabria
2023-04-01,98.12,1,Índice servicios corregido,cantabria
2023-05-01,97.5234,1,Índice servicios corregido,cantabria
2023-06-01,97.08733333333332,1,Índice servicios corregido,cantabria
2023-07-01,96.7807142857143,1,Índice servicios corregido,cantabria
2023-08-01,95.719125,1,Índice servicios corregido,cantabria
2023-09-01,95.87177777777778,1,Índice servicios corregido,cantabria
2023-10-01,96.0176,1,Índice servicios corregido,cantabria
2023-11-01,96.50209090909092,1,Índice servicios corregido,cantabria
2023-12-01,96.91541666666669,1,Índice servicios corregido,cantabria
2023-01-01,-12.852454303715591,1,Annual variation,cantabria
2023-02-01,-11.520456531970693,1,Annual variation,cantabria
2023-03-01,-11.106510684413813,1,Annual variation,cantabria
2023-04-01,-10.462778788776502,1,Annual variation,cantabria
2023-05-01,-10.538309938866854,1,Annual variation,cantabria
2023-06-01,-10.405535820619695,1,Annual variation,cantabria
2023-07-01,-9.72350251496513,1,Annual variation,cantabria
2023-08-01,-8.968807717001077,1,Annual variation,cantabria
2023-09-01,-8.343369906163554,1,Annual variation,cantabria
2023-10-01,-7.406339157166567,1,Annual variation,cantabria
2023-11-01,-6.741799407242958,1,Annual variation,cantabria
2023-12-01,-6.108538628398866,1,Annual variation,cantabria
2023-01-01,-12.839739220107324,1,Corrected annual variation,cantabria
2023-02-01,-11.5102184482038,1,Corrected annual variation,cantabria
2023-03-01,-11.473735163017489,1,Corrected annual variation,cantabria
2023-04-01,-11.200405444540973,1,Corrected annual variation,cantabria
2023-05-01,-10.254319642502178,1,Corrected annual variation,cantabria
2023-06-01,-9.95981204402127,1,Corrected annual variation,cantabria
2023-07-01,-8.82645851557768,1,Corrected annual variation,cantabria
2023-08-01,-8.443272714229357,1,Corrected annual variation,cantabria
2023-09-01,-7.650138121399139,1,Corrected annual variation,cantabria
2023-10-01,-6.906197068664463,1,Corrected annual variation,cantabria
2023-11-01,-6.192984642140387,1,Corrected annual variation,cantabria
2023-12-01,-5.470738223721058,1,Corrected annual variation,cantabria
2023-01-01,109.134,1,Índice servicios,castilla la mancha
2023-02-01,105.2765,1,Índice servicios,castilla la mancha
2023-03-01,106.63366666666668,1,Índice servicios,castilla la mancha
2023-04-01,105.78375,1,Índice servicios,castilla la mancha
2023-05-01,106.8568,1,Índice servicios,castilla la mancha
2023-06-01,109.0835,1,Índice servicios,castilla la mancha
2023-07-01,112.76385714285712,1,Índice servicios,castilla la mancha
2023-08-01,115.024625,1,Índice servicios,castilla la mancha
2023-09-01,115.42166666666668,1,Índice servicios,castilla la mancha
2023-10-01,115.5705,1,Índice servicios,castilla la mancha
2023-11-01,114.87918181818182,1,Índice servicios,castilla la mancha
2023-12-01,114.37850000000002,1,Índice servicios,castilla la mancha
2023-01-01,99.734,1,Índice servicios corregido,castilla la mancha
2023-02-01,100.562,1,Índice servicios corregido,castilla la mancha
2023-03-01,99.36866666666668,1,Índice servicios corregido,castilla la mancha
2023-04-01,98.12,1,Índice servicios corregido,castilla la mancha
2023-05-01,97.5234,1,Índice servicios corregido,castilla la mancha
2023-06-01,97.08733333333332,1,Índice servicios corregido,castilla la mancha
2023-07-01,96.7807142857143,1,Índice servicios corregido,castilla la mancha
2023-08-01,95.719125,1,Índice servicios corregido,castilla la mancha
2023-09-01,95.87177777777778,1,Índice servicios corregido,castilla la mancha
2023-10-01,96.0176,1,Índice servicios corregido,castilla la mancha
2023-11-01,96.50209090909092,1,Índice servicios corregido,castilla la mancha
2023-12-01,96.91541666666669,1,Índice servicios corregido,castilla la mancha
2023-01-01,-12.852454303715591,1,Annual variation,castilla la mancha
2023-02-01,-11.520456531970693,1,Annual variation,castilla la mancha
2023-03-01,-11.106510684413813,1,Annual variation,castilla la mancha
2023-04-01,-10.462778788776502,1,Annual variation,castilla la mancha
2023-05-01,-10.538309938866854,1,Annual variation,castilla la mancha
