fecha,valor,porcentaje,indicator,region
2020-01-01T00:00:00.000+01:00,122.357,1,Índice servicios,comunidad de madrid
2020-02-01T00:00:00.000+01:00,117.652,1,Índice servicios,comunidad de madrid
2020-03-01T00:00:00.000+01:00,114.03066666666666,1,Índice servicios,comunidad de madrid
2020-04-01T00:00:00.000+02:00,107.0515,1,Índice servicios,comunidad de madrid
2020-05-01T00:00:00.000+02:00,105.1848,1,Índice servicios,comunidad de madrid
2020-06-01T00:00:00.000+02:00,105.76499999999999,1,Índice servicios,comunidad de madrid
2020-07-01T00:00:00.000+02:00,110.02857142857142,1,Índice servicios,comunidad de madrid
2020-08-01T00:00:00.000+02:00,112.559,1,Índice servicios,comunidad de madrid
2020-09-01T00:00:00.000+02:00,113.22444444444444,1,Índice servicios,comunidad de madrid
2020-10-01T00:00:00.000+02:00,113.17259999999999,1,Índice servicios,comunidad de madrid
2020-11-01T00:00:00.000+01:00,112.61863636363636,1,Índice servicios,comunidad de madrid
2020-12-01T00:00:00.000+01:00,112.56524999999999,1,Índice servicios,comunidad de madrid
2020-01-01T00:00:00.000+01:00,108.585,1,Índice servicios corregido,comunidad de madrid
2020-02-01T00:00:00.000+01:00,109.854,1,Índice servicios corregido,comunidad de madrid
2020-03-01T00:00:00.000+01:00,105.53166666666668,1,Índice servicios corregido,comunidad de madrid
2020-04-01T00:00:00.000+02:00,99.7745,1,Índice servicios corregido,comunidad de madrid
2020-05-01T00:00:00.000+02:00,96.161,1,Índice servicios corregido,comunidad de madrid
2020-06-01T00:00:00.000+02:00,95.1345,1,Índice servicios corregido,comunidad de madrid
2020-07-01T00:00:00.000+02:00,95.13614285714286,1,Índice servicios corregido,comunidad de madrid
2020-08-01T00:00:00.000+02:00,95.050125,1,Índice servicios corregido,comunidad de madrid
2020-09-01T00:00:00.000+02:00,95.43844444444443,1,Índice servicios corregido,comunidad de madrid
2020-10-01T00:00:00.000+02:00,96.1511,1,Índice servicios corregido,comunidad de madrid
2020-11-01T00:00:00.000+01:00,96.6620909090909,1,Índice servicios corregido,comunidad de madrid
2020-12-01T00:00:00.000+01:00,96.82516666666665,1,Índice servicios corregido,comunidad de madrid
2020-01-01T00:00:00.000+01:00,-0.8138714828835732,1,Annual variation,comunidad de madrid
2020-02-01T00:00:00.000+01:00,0.5895051832852369,1,Annual variation,comunidad de madrid
2020-03-01T00:00:00.000+01:00,-2.992527896326337,1,Annual variation,comunidad de madrid
2020-04-01T00:00:00.000+02:00,-8.24085046382507,1,Annual variation,comunidad de madrid
2020-05-01T00:00:00.000+02:00,-10.94320708357816,1,Annual variation,comunidad de madrid
2020-06-01T00:00:00.000+02:00,-11.850379427171243,1,Annual variation,comunidad de madrid
2020-07-01T00:00:00.000+02:00,-11.394269042984472,1,Annual variation,comunidad de madrid
2020-08-01T00:00:00.000+02:00,-10.807266388002928,1,Annual variation,comunidad de madrid
2020-09-01T00:00:00.000+02:00,-10.466513903337367,1,Annual variation,comunidad de madrid
2020-10-01T00:00:00.000+02:00,-10.492403062027506,1,Annual variation,comunidad de madrid
2020-11-01T00:00:00.000+01:00,-10.406488777351496,1,Annual variation,comunidad de madrid
2020-12-01T00:00:00.000+01:00,-9.936512042842713,1,Annual variation,comunidad de madrid
2020-01-01T00:00:00.000+01:00,-0.5604549575537872,1,Corrected annual variation,comunidad de madrid
2020-02-01T00:00:00.000+01:00,-0.49231187300437845,1,Corrected annual variation,comunidad de madrid
2020-03-01T00:00:00.000+01:00,-4.5120719036057215,1,Corrected annual variation,comunidad de madrid
2020-04-01T00:00:00.000+02:00,-9.35812237963943,1,Corrected annual variation,comunidad de madrid
2020-05-01T00:00:00.000+02:00,-12.287470811441928,1,Corrected annual variation,comunidad de madrid
2020-06-01T00:00:00.000+02:00,-13.11005265393169,1,Corrected annual variation,comunidad de madrid
2020-07-01T00:00:00.000+02:00,-13.007475876158837,1,Corrected annual variation,comunidad de madrid
2020-08-01T00:00:00.000+02:00,-12.4375582961965,1,Corrected annual variation,comunidad de madrid
2020-09-01T00:00:00.000+02:00,-12.170157244730401,1,Corrected annual variation,comunidad de madrid
2020-10-01T00:00:00.000+02:00,-11.620222238358874,1,Corrected annual variation,comunidad de madrid
2020-11-01T00:00:00.000+01:00,-11.271303196971177,1,Corrected annual variation,comunidad de madrid
2020-12-01T00:00:00.000+01:00,-10.945915391483988,1,Corrected annual variation,comunidad de madrid
2020-01-01T00:00:00.000+01:00,122.357,1,Índice servicios,comunidad de navarra
2020-02-01T00:00:00.000+01:00,117.652,1,Índice servicios,comunidad de navarra
2020-03-01T00:00:00.000+01:00,114.03066666666666,1,Índice servicios,comunidad de navarra
2020-04-01T00:00:00.000+02:00,107.0515,1,Índice servicios,comunidad de navarra
2020-05-01T00:00:00.000+02:00,105.1848,1,Índice servicios,comunidad de navarra
2020-06-01T00:00:00.000+02:00,105.76499999999999,1,Índice servicios,comunidad de navarra
2020-07-01T00:00:00.000+02:00,110.02857142857142,1,Índice servicios,comunidad de navarra
2020-08-01T00:00:00.000+02:00,112.559,1,Índice servicios,comunidad de navarra
2020-09-01T00:00:00.000+02:00,113.22444444444444,1,Índice servicios,comunidad de navarra
2020-10-01T00:00:00.000+02:00,113.17259999999999,1,Índice servicios,comunidad de navarra
2020-11-01T00:00:00.000+01:00,112.61863636363636,1,Índice servicios,comunidad de navarra
2020-12-01T00:00:00.000+01:00,112.56524999999999,1,Índice servicios,comunidad de navarra
2020-01-01T00:00:00.000+01:00,108.585,1,Índice servicios corregido,comunidad de navarra
2020-02-01T00:00:00.000+01:00,109.854,1,Índice servicios corregido,comunidad de navarra
2020-03-01T00:00:00.000+01:00,105.53166666666668,1,Índice servicios corregido,comunidad de navarra
2020-04-01T00:00:00.000+02:00,99.7745,1,Índice servicios corregido,comunidad de navarra
2020-05-01T00:00:00.000+02:00,96.161,1,Índice servicios corregido,comunidad de navarra
2020-06-01T00:00:00.000+02:00,95.1345,1,Índice servicios corregido,comunidad de navarra
2020-07-01T00:00:00.000+02:00,95.13614285714286,1,Índice servicios corregido,comunidad de navarra
2020-08-01T00:00:00.000+02:00,95.050125,1,Índice servicios corregido,comunidad de navarra
2020-09-01T00:00:00.000+02:00,95.43844444444443,1,Índice servicios corregido,comunidad de navarra
2020-10-01T00:00:00.000+02:00,96.1511,1,Índice servicios corregido,comunidad de navarra
2020-11-01T00:00:00.000+01:00,96.6620909090909,1,Índice servicios corregido,comunidad de navarra
2020-12-01T00:00:00.000+01:00,96.82516666666665,1,Índice servicios corregido,comunidad de navarra
2020-01-01T00:00:00.000+01:00,-0.8138714828835732,1,Annual variation,comunidad de navarra
2020-02-01T00:00:00.000+01:00,0.5895051832852369,1,Annual variation,comunidad de navarra
2020-03-01T00:00:00.000+01:00,-2.992527896326337,1,Annual variation,comunidad de navarra
2020-04-01T00:00:00.000+02:00,-8.24085046382507,1,Annual variation,comunidad de navarra
2020-05-01T00:00:00.000+02:00,-10.94320708357816,1,Annual variation,comunidad de navarra
2020-06-01T00:00:00.000+02:00,-11.850379427171243,1,Annual variation,comunidad de navarra
2020-07-01T00:00:00.000+02:00,-11.394269042984472,1,Annual variation,comunidad de navarra
2020-08-01T00:00:00.000+02:00,-10.807266388002928,1,Annual variation,comunidad de navarra
2020-09-01T00:00:00.000+02:00,-10.466513903337367,1,Annual variation,comunidad de navarra
2020-10-01T00:00:00.000+02:00,-10.492403062027506,1,Annual variation,comunidad de navarra
2020-11-01T00:00:00.000+01:00,-10.406488777351496,1,Annual variation,comunidad de navarra
2020-12-01T00:00:00.000+01:00,-9.936512042842713,1,Annual variation,comunidad de navarra
2020-01-01T00:00:00.000+01:00,-0.5604549575537872,1,Corrected annual variation,comunidad de navarra
2020-02-01T00:00:00.000+01:00,-0.49231187300437845,1,Corrected annual variation,comunidad de navarra
2020-03-01T00:00:00.000+01:00,-4.5120719036057215,1,Corrected annual variation,comunidad de navarra
2020-04-01T00:00:00.000+02:00,-9.35812237963943,1,Corrected annual variation,comunidad de navarra
2020-05-01T00:00:00.000+02:00,-12.287470811441928,1,Corrected annual variation,comunidad de navarra
2020-06-01T00:00:00.000+02:00,-13.11005265393169,1,Corrected annual variation,comunidad de navarra
2020-07-01T00:00:00.000+02:00,-13.007475876158837,1,Corrected annual variation,comunidad de navarra
2020-08-01T00:00:00.000+02:00,-12.4375582961965,1,Corrected annual variation,comunidad de navarra
2020-09-01T00:00:00.000+02:00,-12.170157244730401,1,Corrected annual variation,comunidad de navarra
2020-10-01T00:00:00.000+02:00,-11.620222238358874,1,Corrected annual variation,comunidad de navarra
2020-11-01T00:00:00.000+01:00,-11.271303196971177,1,Corrected annual variation,comunidad de navarra
2020-12-01T00:00:00.000+01:00,-10.945915391483988,1,Corrected annual variation,comunidad de navarra
2020-01-01T00:00:00.000+01:00,122.357,1,Índice servicios,comunidad valenciana
2020-02-01T00:00:00.000+01:00,117.652,1,Índice servicios,comunidad valenciana
2020-03-01T00:00:00.000+01:00,114.03066666666666,1,Índice servicios,comunidad valenciana
2020-04-01T00:00:00.000+02:00,107.0515,1,Índice servicios,comunidad valenciana
2020-05-01T00:00:00.000+02:00,105.1848,1,Índice servicios,comunidad valenciana
2020-06-01T00:00:00.000+02:00,105.76499999999999,1,Índice servicios,comunidad valenciana
2020-07-01T00:00:00.000+02:00,110.02857142857142,1,Índice servicios,comunidad valenciana
2020-08-01T00:00:00.000+02:00,112.559,1,Índice servicios,comunidad valenciana
2020-09-01T00:00:00.000+02:00,113.22444444444444,1,Índice servicios,comunidad valenciana
2020-10-01T00:00:00.000+02:00,113.17259999999999,1,Índice servicios,comunidad valenciana
2020-11-01T00:00:00.000+01:00,112.61863636363636,1,Índice servicios,comunidad valenciana
2020-12-01T00:00:00.000+01:00,112.56524999999999,1,Índice servicios,comunidad valenciana
2020-01-01T00:00:00.000+01:00,108.585,1,Índice servicios corregido,comunidad valenciana
2020-02-01T00:00:00.000+01:00,109.854,1,Índice servicios corregido,comunidad valenciana
2020-03-01T00:00:00.000+01:00,105.53166666666668,1,Índice servicios corregido,comunidad valenciana
2020-04-01T00:00:00.000+02:00,99.7745,1,Índice servicios corregido,comunidad valenciana
2020-05-01T00:00:00.000+02:00,96.161,1,Índice servicios corregido,comunidad valenciana
2020-06-01T00:00:00.000+02:00,95.1345,1,Índice servicios corregido,comunidad valenciana
2020-07-01T00:00:00.000+02:00,95.13614285714286,1,Índice servicios corregido,comunidad valenciana
2020-08-01T00:00:00.000+02:00,95.050125,1,Índice servicios corregido,comunidad valenciana
2020-09-01T00:00:00.000+02:00,95.43844444444443,1,Índice servicios corregido,comunidad valenciana
2020-10-01T00:00:00.000+02:00,96.1511,1,Índice servicios corregido,comunidad valenciana
2020-11-01T00:00:00.000+01:00,96.6620909090909,1,Índice servicios corregido,comunidad valenciana
2020-12-01T00:00:00.000+01:00,96.82516666666665,1,Índice servicios corregido,comunidad valenciana
2020-01-01T00:00:00.000+01:00,-0.8138714828835732,1,Annual variation,comunidad valenciana
2020-02-01T00:00:00.000+01:00,0.5895051832852369,1,Annual variation,comunidad valenciana
2020-03-01T00:00:00.000+01:00,-2.992527896326337,1,Annual variation,comunidad valenciana
2020-04-01T00:00:00.000+02:00,-8.24085046382507,1,Annual variation,comunidad valenciana
2020-05-01T00:00:00.000+02:00,-10.94320708357816,1,Annual variation,comunidad valenciana
2020-06-01T00:00:00.000+02:00,-11.850379427171243,1,Annual variation,comunidad valenciana
2020-07-01T00:00:00.000+02:00,-11.394269042984472,1,Annual variation,comunidad valenciana
2020-08-01T00:00:00.000+02:00,-10.807266388002928,1,Annual variation,comunidad valenciana
2020-09-01T00:00:00.000+02:00,-10.466513903337367,1,Annual variation,comunidad valenciana
2020-10-01T00:00:00.000+02:00,-10.492403062027506,1,Annual variation,comunidad valenciana
2020-11-01T00:00:00.000+01:00,-10.406488777351496,1,Annual variation,comunidad valenciana
2020-12-01T00:00:00.000+01:00,-9.936512042842713,1,Annual variation,comunidad valenciana
2020-01-01T00:00:00.000+01:00,-0.5604549575537872,1,Corrected annual variation,comunidad valenciana
2020-02-01T00:00:00.000+01:00,-0.49231187300437845,1,Corrected annual variation,comunidad valenciana
2020-03-01T00:00:00.000+01:00,-4.5120719036057215,1,Corrected annual variation,comunidad valenciana
2020-04-01T00:00:00.000+02:00,-9.35812237963943,1,Corrected annual variation,comunidad valenciana
2020-05-01T00:00:00.000+02:00,-12.287470811441928,1,Corrected annual variation,comunidad valenciana
2020-06-01T00:00:00.000+02:00,-13.11005265393169,1,Corrected annual variation,comunidad valenciana
2020-07-01T00:00:00.000+02:00,-13.007475876158837,1,Corrected annual variation,comunidad valenciana
2020-08-01T00:00:00.000+02:00,-12.4375582961965,1,Corrected annual variation,comunidad valenciana
2020-09-01T00:00:00.000+02:00,-12.170157244730401,1,Corrected annual variation,comunidad valenciana
2020-10-01T00:00:00.000+02:00,-11.620222238358874,1,Corrected annual variation,comunidad valenciana
2020-11-01T00:00:00.000+01:00,-11.271303196971177,1,Corrected annual variation,comunidad valenciana
2020-12-01T00:00:00.000+01:00,-10.945915391483988,1,Corrected annual variation,comunidad valenciana
2020-01-01T00:00:00.000+01:00,122.357,1,Índice servicios,extremadura
2020-02-01T00:00:00.000+01:00,117.652,1,Índice servicios,extremadura
2020-03-01T00:00:00.000+01:00,114.03066666666666,1,Índice servicios,extremadura
2020-04-01T00:00:00.000+02:00,107.0515,1,Índice servicios,extremadura
2020-05-01T00:00:00.000+02:00,105.1848,1,Índice servicios,extremadura
2020-06-01T00:00:00.000+02:00,105.76499999999999,1,Índice servicios,extremadura
2020-07-01T00:00:00.000+02:00,110.02857142857142,1,Índice servicios,extremadura
2020-08-01T00:00:00.000+02:00,112.559,1,Índice servicios,extremadura
2020-09-01T00:00:00.000+02:00,113.22444444444444,1,Índice servicios,extremadura
2020-10-01T00:00:00.000+02:00,113.17259999999999,1,Índice servicios,extremadura
2020-11-01T00:00:00.000+01:00,112.61863636363636,1,Índice servicios,extremadura
2020-12-01T00:00:00.000+01:00,112.56524999999999,1,Índice servicios,extremadura
2020-01-01T00:00:00.000+01:00,108.585,1,Índice servicios corregido,extremadura
2020-02-01T00:00:00.000+01:00,109.854,1,Índice servicios corregido,extremadura
2020-03-01T00:00:00.000+01:00,105.53166666666668,1,Índice servicios corregido,extremadura
2020-04-01T00:00:00.000+02:00,99.7745,1,Índice servicios corregido,extremadura
2020-05-01T00:00:00.000+02:00,96.161,1,Índice servicios corregido,extremadura
2020-06-01T00:00:00.000+02:00,95.1345,1,Índice servicios corregido,extremadura
2020-07-01T00:00:00.000+02:00,95.13614285714286,1,Índice servicios corregido,extremadura
2020-08-01T00:00:00.000+02:00,95.050125,1,Índice servicios corregido,extremadura
2020-09-01T00:00:00.000+02:00,95.43844444444443,1,Índice servicios corregido,extremadura
2020-10-01T00:00:00.000+02:00,96.1511,1,Índice servicios corregido,extremadura
2020-11-01T00:00:00.000+01:00,96.6620909090909,1,Índice servicios corregido,extremadura
2020-12-01T00:00:00.000+01:00,96.82516666666665,1,Índice servicios corregido,extremadura
2020-01-01T00:00:00.000+01:00,-0.8138714828835732,1,Annual variation,extremadura
2020-02-01T00:00:00.000+01:00,0.5895051832852369,1,Annual variation,extremadura
2020-03-01T00:00:00.000+01:00,-2.992527896326337,1,Annual variation,extremadura
2020-04-01T00:00:00.000+02:00,-8.24085046382507,1,Annual variation,extremadura
2020-05-01T00:00:00.000+02:00,-10.94320708357816,1,Annual variation,extremadura
2020-06-01T00:00:00.000+02:00,-11.850379427171243,1,Annual variation,extremadura
2020-07-01T00:00:00.000+02:00,-11.394269042984472,1,Annual variation,extremadura
2020-08-01T00:00:00.000+02:00,-10.807266388002928,1,Annual variation,extremadura
2020-09-01T00:00:00.000+02:00,-10.466513903337367,1,Annual variation,extremadura
2020-10-01T00:00:00.000+02:00,-10.492403062027506,1,Annual variation,extremadura
2020-11-01T00:00:00.000+01:00,-10.406488777351496,1,Annual variation,extremadura
2020-12-01T00:00:00.000+01:00,-9.936512042842713,1,Annual variation,extremadura
2020-01-01T00:00:00.000+01:00,-0.5604549575537872,1,Corrected annual variation,extremadura
2020-02-01T00:00:00.000+01:00,-0.49231187300437845,1,Corrected annual variation,extremadura
2020-03-01T00:00:00.000+01:00,-4.5120719036057215,1,Corrected annual variation,extremadura
2020-04-01T00:00:00.000+02:00,-9.35812237963943,1,Corrected annual variation,extremadura
2020-05-01T00:00:00.000+02:00,-12.287470811441928,1,Corrected annual variation,extremadura
2020-06-01T00:00:00.000+02:00,-13.11005265393169,1,Corrected annual variation,extremadura
2020-07-01T00:00:00.000+02:00,-13.007475876158837,1,Corrected annual variation,extremadura
2020-08-01T00:00:00.000+02:00,-12.4375582961965,1,Corrected annual variation,extremadura
2020-09-01T00:00:00.000+02:00,-12.170157244730401,1,Corrected annual variation,extremadura
2020-10-01T00:00:00.000+02:00,-11.620222238358874,1,Corrected annual variation,extremadura
2020-11-01T00:00:00.000+01:00,-11.271303196971177,1,Corrected annual variation,extremadura
2020-12-01T00:00:00.000+01:00,-10.945915391483988,1,Corrected annual variation,extremadura
2020-01-01T00:00:00.000+01:00,122.357,1,Índice servicios,galicia
2020-02-01T00:00:00.000+01:00,117.652,1,Índice servicios,galicia
2020-03-01T00:00:00.000+01:00,114.03066666666666,1,Índice servicios,galicia
2020-04-01T00:00:00.000+02:00,107.0515,1,Índice servicios,galicia
2020-05-01T00:00:00.000+02:00,105.1848,1,Índice servicios,galicia
2020-06-01T00:00:00.000+02:00,105.76499999999999,1,Índice servicios,galicia
2020-07-01T00:00:00.000+02:00,110.02857142857142,1,Índice servicios,galicia
2020-08-01T00:00:00.000+02:00,112.559,1,Índice servicios,galicia
2020-09-01T00:00:00.000+02:00,113.22444444444444,1,Índice servicios,galicia
2020-10-01T00:00:00.000+02:00,113.17259999999999,1,Índice servicios,galicia
2020-11-01T00:00:00.000+01:00,112.61863636363636,1,Índice servicios,galicia
2020-12-01T00:00:00.000+01:00,112.56524999999999,1,Índice servicios,galicia
2020-01-01T00:00:00.000+01:00,108.585,1,Índice servicios corregido,galicia
2020-02-01T00:00:00.000+01:00,109.854,1,Índice servicios corregido,galicia
2020-03-01T00:00:00.000+01:00,105.53166666666668,1,Índice servicios corregido,galicia
2020-04-01T00:00:00.000+02:00,99.7745,1,Índice servicios corregido,galicia
2020-05-01T00:00:00.000+02:00,96.161,1,Índice servicios corregido,galicia
2020-06-01T00:00:00.000+02:00,95.1345,1,Índice servicios corregido,galicia
2020-07-01T00:00:00.000+02:00,95.13614285714286,1,Índice servicios corregido,galicia
2020-08-01T00:00:00.000+02:00,95.050125,1,Índice servicios corregido,galicia
2020-09-01T00:00:00.000+02:00,95.43844444444443,1,Índice servicios corregido,galicia
2020-10-01T00:00:00.000+02:00,96.1511,1,Índice servicios corregido,galicia
2020-11-01T00:00:00.000+01:00,96.6620909090909,1,Índice servicios corregido,galicia
2020-12-01T00:00:00.000+01:00,96.82516666666665,1,Índice servicios corregido,galicia
2020-01-01T00:00:00.000+01:00,-0.8138714828835732,1,Annual variation,galicia
2020-02-01T00:00:00.000+01:00,0.5895051832852369,1,Annual variation,galicia
2020-03-01T00:00:00.000+01:00,-2.992527896326337,1,Annual variation,galicia
2020-04-01T00:00:00.000+02:00,-8.24085046382507,1,Annual variation,galicia
2020-05-01T00:00:00.000+02:00,-10.94320708357816,1,Annual variation,galicia
2020-06-01T00:00:00.000+02:00,-11.850379427171243,1,Annual variation,galicia
2020-07-01T00:00:00.000+02:00,-11.394269042984472,1,Annual variation,galicia
2020-08-01T00:00:00.000+02:00,-10.807266388002928,1,Annual variation,galicia
2020-09-01T00:00:00.000+02:00,-10.466513903337367,1,Annual variation,galicia
2020-10-01T00:00:00.000+02:00,-10.492403062027506,1,Annual variation,galicia
2020-11-01T00:00:00.000+01:00,-10.406488777351496,1,Annual variation,galicia
2020-12-01T00:00:00.000+01:00,-9.936512042842713,1,Annual variation,galicia
2020-01-01T00:00:00.000+01:00,-0.5604549575537872,1,Corrected annual variation,galicia
2020-02-01T00:00:00.000+01:00,-0.49231187300437845,1,Corrected annual variation,galicia
2020-03-01T00:00:00.000+01:00,-4.5120719036057215,1,Corrected annual variation,galicia
2020-04-01T00:00:00.000+02:00,-9.35812237963943,1,Corrected annual variation,galicia
2020-05-01T00:00:00.000+02:00,-12.287470811441928,1,Corrected annual variation,galicia
2020-06-01T00:00:00.000+02:00,-13.11005265393169,1,Corrected annual variation,galicia
2020-07-01T00:00:00.000+02:00,-13.007475876158837,1,Corrected annual variation,galicia
2020-08-01T00:00:00.000+02:00,-12.4375582961965,1,Corrected annual variation,galicia
2020-09-01T00:00:00.000+02:00,-12.170157244730401,1,Corrected annual variation,galicia
2020-10-01T00:00:00.000+02:00,-11.620222238358874,1,Corrected annual variation,galicia
2020-11-01T00:00:00.000+01:00,-11.271303196971177,1,Corrected annual variation,galicia
2020-12-01T00:00:00.000+01:00,-10.945915391483988,1,Corrected annual variation,galicia
2020-01-01T00:00:00.000+01:00,122.357,1,Índice servicios,la rioja
2020-02-01T00:00:00.000+01:00,117.652,1,Índice servicios,la rioja
2020-03-01T00:00:00.000+01:00,114.03066666666666,1,Índice servicios,la rioja
2020-04-01T00:00:00.000+02:00,107.0515,1,Índice servicios,la rioja
2020-05-01T00:00:00.000+02:00,105.1848,1,Índice servicios,la rioja
2020-06-01T00:00:00.000+02:00,105.76499999999999,1,Índice servicios,la rioja
2020-07-01T00:00:00.000+02:00,110.02857142857142,1,Índice servicios,la rioja
2020-08-01T00:00:00.000+02:00,112.559,1,Índice servicios,la rioja
2020-09-01T00:00:00.000+02:00,113.22444444444444,1,Índice servicios,la rioja
2020-10-01T00:00:00.000+02:00,113.17259999999999,1,Índice servicios,la rioja
2020-11-01T00:00:00.000+01:00,112.61863636363636,1,Índice servicios,la rioja
2020-12-01T00:00:00.000+01:00,112.56524999999999,1,Índice servicios,la rioja
2020-01-01T00:00:00.000+01:00,108.585,1,Índice servicios corregido,la rioja
2020-02-01T00:00:00.000+01:00,109.854,1,Índice servicios corregido,la rioja
2020-03-01T00:00:00.000+01:00,105.53166666666668,1,Índice servicios corregido,la rioja
2020-04-01T00:00:00.000+02:00,99.7745,1,Índice servicios corregido,la rioja
2020-05-01T00:00:00.000+02:00,96.161,1,Índice servicios corregido,la rioja
2020-06-01T00:00:00.000+02:00,95.1345,1,Índice servicios corregido,la rioja
2020-07-01T00:00:00.000+02:00,95.13614285714286,1,Índice servicios corregido,la rioja
2020-08-01T00:00:00.000+02:00,95.050125,1,Índice servicios corregido,la rioja
2020-09-01T00:00:00.000+02:00,95.43844444444443,1,Índice servicios corregido,la rioja
2020-10-01T00:00:00.000+02:00,96.1511,1,Índice servicios corregido,la rioja
2020-11-01T00:00:00.000+01:00,96.6620909090909,1,Índice servicios corregido,la rioja
2020-12-01T00:00:00.000+01:00,96.82516666666665,1,Índice servicios corregido,la rioja
2020-01-01T00:00:00.000+01:00,-0.8138714828835732,1,Annual variation,la rioja
2020-02-01T00:00:00.000+01:00,0.5895051832852369,1,Annual variation,la rioja
2020-03-01T00:00:00.000+01:00,-2.992527896326337,1,Annual variation,la rioja
2020-04-01T00:00:00.000+02:00,-8.24085046382507,1,Annual variation,la rioja
2020-05-01T00:00:00.000+02:00,-10.94320708357816,1,Annual variation,la rioja
2020-06-01T00:00:00.000+02:00,-11.850379427171243,1,Annual variation,la rioja
2020-07-01T00:00:00.000+02:00,-11.394269042984472,1,Annual variation,la rioja
2020-08-01T00:00:00.000+02:00,-10.807266388002928,1,Annual variation,la rioja
2020-09-01T00:00:00.000+02:00,-10.466513903337367,1,Annual variation,la rioja
2020-10-01T00:00:00.000+02:00,-10.492403062027506,1,Annual variation,la rioja
2020-11-01T00:00:00.000+01:00,-10.406488777351496,1,Annual variation,la rioja
2020-12-01T00:00:00.000+01:00,-9.936512042842713,1,Annual variation,la rioja
2020-01-01T00:00:00.000+01:00,-0.5604549575537872,1,Corrected annual variation,la rioja
2020-02-01T00:00:00.000+01:00,-0.49231187300437845,1,Corrected annual variation,la rioja
2020-03-01T00:00:00.000+01:00,-4.5120719036057215,1,Corrected annual variation,la rioja
2020-04-01T00:00:00.000+02:00,-9.35812237963943,1,Corrected annual variation,la rioja
2020-05-01T00:00:00.000+02:00,-12.287470811441928,1,Corrected annual variation,la rioja
2020-06-01T00:00:00.000+02:00,-13.11005265393169,1,Corrected annual variation,la rioja
2020-07-01T00:00:00.000+02:00,-13.007475876158837,1,Corrected annual variation,la rioja
2020-08-01T00:00:00.000+02:00,-12.4375582961965,1,Corrected annual variation,la rioja
2020-09-01T00:00:00.000+02:00,-12.170157244730401,1,Corrected annual variation,la rioja
2020-10-01T00:00:00.000+02:00,-11.620222238358874,1,Corrected annual variation,la rioja
2020-11-01T00:00:00.000+01:00,-11.271303196971177,1,Corrected annual variation,la rioja
2020-12-01T00:00:00.000+01:00,-10.945915391483988,1,Corrected annual variation,la rioja
2020-01-01T00:00:00.000+01:00,122.357,1,Índice servicios,region de murcia
2020-02-01T00:00:00.000+01:00,117.652,1,Índice servicios,region de murcia
2020-03-01T00:00:00.000+01:00,114.03066666666666,1,Índice servicios,region de murcia
2020-04-01T00:00:00.000+02:00,107.0515,1,Índice servicios,region de murcia
2020-05-01T00:00:00.000+02:00,105.1848,1,Índice servicios,region de murcia
2020-06-01T00:00:00.000+02:00,105.76499999999999,1,Índice servicios,region de murcia
2020-07-01T00:00:00.000+02:00,110.02857142857142,1,Índice servicios,region de murcia
2020-08-01T00:00:00.000+02:00,112.559,1,Índice servicios,region de murcia
2020-09-01T00:00:00.000+02:00,113.22444444444444,1,Índice servicios,region de murcia
2020-10-01T00:00:00.000+02:00,113.17259999999999,1,Índice servicios,region de murcia
2020-11-01T00:00:00.000+01:00,112.61863636363636,1,Índice servicios,region de murcia
2020-12-01T00:00:00.000+01:00,112.56524999999999,1,Índice servicios,region de murcia
2020-01-01T00:00:00.000+01:00,108.585,1,Índice servicios corregido,region de murcia
2020-02-01T00:00:00.000+01:00,109.854,1,Índice servicios corregido,region de murcia
2020-03-01T00:00:00.000+01:00,105.53166666666668,1,Índice servicios corregido,region de murcia
2020-04-01T00:00:00.000+02:00,99.7745,1,Índice servicios corregido,region de murcia
2020-05-01T00:00:00.000+02:00,96.161,1,Índice servicios corregido,region de murcia
2020-06-01T00:00:00.000+02:00,95.1345,1,Índice servicios corregido,region de murcia
2020-07-01T00:00:00.000+02:00,95.13614285714286,1,Índice servicios corregido,region de murcia
2020-08-01T00:00:00.000+02:00,95.050125,1,Índice servicios corregido,region de murcia
2020-09-01T00:00:00.000+02:00,95.43844444444443,1,Índice servicios corregido,region de murcia
2020-10-01T00:00:00.000+02:00,96.1511,1,Índice servicios corregido,region de murcia
2020-11-01T00:00:00.000+01:00,96.6620909090909,1,Índice servicios corregido,region de murcia
2020-12-01T00:00:00.000+01:00,96.82516666666665,1,Índice servicios corregido,region de murcia
2020-01-01T00:00:00.000+01:00,-0.8138714828835732,1,Annual variation,region de murcia
2020-02-01T00:00:00.000+01:00,0.5895051832852369,1,Annual variation,region de murcia
2020-03-01T00:00:00.000+01:00,-2.992527896326337,1,Annual variation,region de murcia
2020-04-01T00:00:00.000+02:00,-8.24085046382507,1,Annual variation,region de murcia
2020-05-01T00:00:00.000+02:00,-10.94320708357816,1,Annual variation,region de murcia
2020-06-01T00:00:00.000+02:00,-11.850379427171243,1,Annual variation,region de murcia
2020-07-01T00:00:00.000+02:00,-11.394269042984472,1,Annual variation,region de murcia
2020-08-01T00:00:00.000+02:00,-10.807266388002928,1,Annual variation,region de murcia
2020-09-01T00:00:00.000+02:00,-10.466513903337367,1,Annual variation,region de murcia
2020-10-01T00:00:00.000+02:00,-10.492403062027506,1,Annual variation,region de murcia
